Address,BlockNumber,StreetName,Lon,Lat
200 DOUGLAS AVE Charlottesville VA,200,DOUGLAS AVE,-78.47350703416849,38.027474382501694
900 BELMONT AVE Charlottesville VA,900,BELMONT AVE,-78.47571077066301,38.02394544812757
400 4TH ST NE Charlottesville VA,400,4TH ST NE,-78.47856885792245,38.03191203839749
300 E MAIN ST Charlottesville VA,300,E MAIN ST,-78.48013502448633,38.03095099720473
900 EMMET ST Charlottesville VA,900,EMMET ST,-78.50275426378921,38.04906891482186
400 MONROE AVE Charlottesville VA,400,MONROE AVE,-78.50266309999999,38.0317055
500 RUGBY RD Charlottesville VA,500,RUGBY RD,-78.50081922855634,38.041174178502416
800 2ND ST NE Charlottesville VA,800,2ND ST NE,-78.476761,38.03716600000001
1300 LONG ST Charlottesville VA,1300,LONG ST,-78.46254912442134,38.03666113171543
500 RIDGE ST Charlottesville VA,500,RIDGE ST,-78.48686409619707,38.02707464501695
800 CHERRY AVE Charlottesville VA,800,CHERRY AVE,-78.49288529008906,38.02851859263546
100 ELLIEWOOD AVE Charlottesville VA,100,ELLIEWOOD AVE,-78.50045916323911,38.03641587543645
200 E WATER ST Charlottesville VA,200,E WATER ST,-78.48119787474647,38.030061499666616
200 8TH ST NW Charlottesville VA,200,8TH ST NW,-78.48997083627114,38.03361431697548
2700 JEFFERSON PARK AVE Charlottesville VA,2700,JEFFERSON PARK AVE,-78.5126101366458,38.01660439093962
2200 ANGUS RD Charlottesville VA,2200,ANGUS RD,-78.49670924603844,38.05996935668101
2000 MORTON DR Charlottesville VA,2000,MORTON DR,-78.4952100161205,38.05550359272053
1600 DUBLIN RD Charlottesville VA,1600,DUBLIN RD,-78.50225461165154,38.019715646058884
100 W MAIN ST Charlottesville VA,100,W MAIN ST,-78.48435568693651,38.03101035915592
1600 EMMET ST N Charlottesville VA,1600,EMMET ST N,-78.49374006211968,38.05905623376546
200 ZAN RD Charlottesville VA,200,ZAN RD,-78.48755592008546,38.06335457740672
1000 BELMONT AVE Charlottesville VA,1000,BELMONT AVE,-78.47418571271157,38.023281509907186
500 9TH ST SW Charlottesville VA,500,9TH ST SW,-78.49515563654994,38.02913218236302
1200 W MAIN ST Charlottesville VA,1200,W MAIN ST,-78.49704148466702,38.03278048123741
300 11TH ST NE Charlottesville VA,300,11TH ST NE,-78.4715452,38.0294527
100 EMMETT ST Charlottesville VA,100,EMMETT ST,-78.50639199999999,38.039893
1100 5TH ST SW Charlottesville VA,1100,5TH ST SW,-78.49989111065581,38.014804117988824
500 ELLIOTT AVE Charlottesville VA,500,ELLIOTT AVE,-78.48354748485477,38.02275050331378
1500 VIRGINIA AVE Charlottesville VA,1500,VIRGINIA AVE,-78.49810606895196,38.03825199140256
1100 EMMET ST N Charlottesville VA,1100,EMMET ST N,-78.49979061482772,38.05134365222282
100 E MAIN ST Charlottesville VA,100,E MAIN ST,-78.48182014980331,38.03089617975122
1300 HARRIS ST Charlottesville VA,1300,HARRIS ST,-78.47777211652597,38.040474420179784
800 HARDY DR Charlottesville VA,800,HARDY DR,-78.49284646961057,38.034162743796394
1500 DAIRY RD Charlottesville VA,1500,DAIRY RD,-78.48628005732046,38.05286748312011
2500 WILLARD DRIVE Charlottesville VA,2500,WILLARD DRIVE,-78.510279,38.0193889
1000 1ST ST S Charlottesville VA,1000,1ST ST S,-78.4872627,38.0206477
500 W MAIN ST Charlottesville VA,500,W MAIN ST,-78.4873875461427,38.030426509729054
1400 MELBORNE RD Charlottesville VA,1400,MELBORNE RD,-78.4729069787379,38.0519797917775
500 E MARKET ST Charlottesville VA,500,E MARKET ST,-78.47857409308624,38.03070230753063
900 RIVER RD Charlottesville VA,900,RIVER RD,-78.45922597966606,38.035240992145994
700 ORANGEDALE AVE Charlottesville VA,700,ORANGEDALE AVE,-78.49533783140933,38.024547468186526
100 GARRETT ST Charlottesville VA,100,GARRETT ST,-78.48415559954456,38.02890268302854
1000 CHERRY AVE Charlottesville VA,1000,CHERRY AVE,-78.49721045503857,38.02869981177635
1200 KING ST Charlottesville VA,1200,KING ST,-78.5002611,38.0282096
1500 UNIVERSITY AVE Charlottesville VA,1500,UNIVERSITY AVE,-78.49939809503297,38.034053293027576
1400 HAMPTON ST Charlottesville VA,1400,HAMPTON ST,-78.46938240457605,38.01953862167553
1200 WERTLAND ST Charlottesville VA,1200,WERTLAND ST,-78.49616107533608,38.03419838891347
500 CHERRY AV Charlottesville VA,500,CHERRY AV,-78.490995,38.0260635
2000 STADIUM RD Charlottesville VA,2000,STADIUM RD,-78.51404480425704,38.02883518881495
600 BOLLLING AVE Charlottesville VA,600,BOLLLING AVE,-78.4812347,38.0240934
600 CHERRY AVE Charlottesville VA,600,CHERRY AVE,-78.49111002403673,38.027485200161806
600 BOLLING AVE Charlottesville VA,600,BOLLING AVE,-78.48118430369415,38.02447963057131
100 10TH ST NW Charlottesville VA,100,10TH ST NW,-78.4943975721157,38.032280664793355
800 PRESTON AVE Charlottesville VA,800,PRESTON AVE,-78.4883077494973,38.03622337276201
1200 CEDAR CT Charlottesville VA,1200,CEDAR CT,-78.432645,38.0938608
1100 MONTICELLO RD Charlottesville VA,1100,MONTICELLO RD,-78.47322848487622,38.021931234232774
1400 MELBOURNE RD Charlottesville VA,1400,MELBOURNE RD,-78.47285931792517,38.05204068072681
100 APPLE TREE RD Charlottesville VA,100,APPLE TREE RD,-78.51993567910749,38.02574325202757
2400 SUNSET RD Charlottesville VA,2400,SUNSET RD,-78.51779573051282,38.02276713080122
1000 MONTROSE AVE Charlottesville VA,1000,MONTROSE AVE,-78.47646230303572,38.01941388747696
900 1ST ST S Charlottesville VA,900,1ST ST S,-78.48551440054496,38.02379707107847
200 E MARKET ST Charlottesville VA,200,E MARKET ST,-78.48153329760123,38.03131512781963
700 6TH ST SE Charlottesville VA,700,6TH ST SE,-78.48110090009699,38.02533631693472
1900 EMMET ST Charlottesville VA,1900,EMMET ST,-78.49261006294623,38.06054433006685
2100 BARRACKS RD Charlottesville VA,2100,BARRACKS RD,-78.49948854636209,38.053051360355234
200 E MAIN ST Charlottesville VA,200,E MAIN ST,-78.48074977456238,38.03033011079886
200 HARRIS RD Charlottesville VA,200,HARRIS RD,-78.5075766,38.0156821
200 STRIBLING AVE Charlottesville VA,200,STRIBLING AVE,-78.52077277757896,38.022069819639725
1000 PARK ST Charlottesville VA,1000,PARK ST,-78.47119330193712,38.04066627765033
600 FORREST HILL AVE Charlottesville VA,600,FORREST HILL AVE,-78.4957235,38.0253238
600 E MARKET ST Charlottesville VA,600,E MARKET ST,-78.47709675567152,38.03055607298227
2200 JEFFERSON PARK AVE Charlottesville VA,2200,JEFFERSON PARK AVE,-78.5153357341513,38.024769583656365
700 PROSPECT AVE Charlottesville VA,700,PROSPECT AVE,-78.49436120881208,38.024866245715636
300 E HIGH ST Charlottesville VA,300,E HIGH ST,-78.48253253876639,38.03390873745424
0 UNIVERSITY WAY Charlottesville VA,0,UNIVERSITY WAY,-78.5020130413617,38.04112249245875
1500 ROSA TER Charlottesville VA,1500,ROSA TER,-78.48554028433576,38.01984639266519
0 MONTICELLO AVE Charlottesville VA,0,MONTICELLO AVE,-78.4779938,38.0238281
600 BAILEY RD Charlottesville VA,600,BAILEY RD,-78.49571474656393,38.02100697704173
1800 HYDRAULIC RD Charlottesville VA,1800,HYDRAULIC RD,-78.49047952629934,38.05969829374594
2300 FONTAINE AVE Charlottesville VA,2300,FONTAINE AVE,-78.51647296158465,38.02544295510429
200 2ND ST NE Charlottesville VA,200,2ND ST NE,-78.48083527606684,38.031780231770206
1300 W MAIN ST Charlottesville VA,1300,W MAIN ST,-78.49779857942342,38.03322854210231
100 WESTWOOD CIR Charlottesville VA,100,WESTWOOD CIR,-78.48161194147654,38.043402774840075
1600 MONTICELLO RD Charlottesville VA,1600,MONTICELLO RD,-78.4733210496293,38.017819049231385
400 W MAIN ST Charlottesville VA,400,W MAIN ST,-78.48723801197319,38.030513337601526
1400 CHERRY AVE Charlottesville VA,1400,CHERRY AVE,-78.5018480968552,38.02558307122552
100 OLINDA DR Charlottesville VA,100,OLINDA DR,-78.49961465530086,38.023303243781356
600 E WATER ST Charlottesville VA,600,E WATER ST,-78.47841803288404,38.02843562804972
300 PRESTON AVE Charlottesville VA,300,PRESTON AVE,-78.48325113068964,38.03299278476102
800 CYNTHIA AVE Charlottesville VA,800,CYNTHIA AVE,NA,NA
1200 CHERRY AVE Charlottesville VA,1200,CHERRY AVE,-78.50045045548003,38.02746618562383
400 4TH ST NW Charlottesville VA,400,4TH ST NW,-78.48502872452163,38.03386041656701
1900 ARLINGTON BLVD Charlottesville VA,1900,ARLINGTON BLVD,-78.50415927495229,38.04748368343037
100 MONTPELIER ST Charlottesville VA,100,MONTPELIER ST,-78.5180391,38.0259063
1900 EMMET ST N Charlottesville VA,1900,EMMET ST N,-78.49208945398837,38.06098108960067
200 4TH ST SW Charlottesville VA,200,4TH ST SW,-78.4871201,38.0297585
700 NELSON DR Charlottesville VA,700,NELSON DR,-78.47668546685304,38.037131353211734
0 ELLIWOOD AVE Charlottesville VA,0,ELLIWOOD AVE,-78.5007142516263,38.035441118240996
2100 ANGUS RD Charlottesville VA,2100,ANGUS RD,-78.49477308258318,38.05830526026487
800 E MARKET ST Charlottesville VA,800,E MARKET ST,-78.47567055817485,38.030040486190266
100 E WATER ST Charlottesville VA,100,E WATER ST,-78.48173708613213,38.03025463469725
300 E MARKET ST Charlottesville VA,300,E MARKET ST,-78.4795738290483,38.03076200449205
2100 BARRACKS ROAD Charlottesville VA,2100,BARRACKS ROAD,-78.499113,38.052787
1600 EMMET ST Charlottesville VA,1600,EMMET ST,-78.4944097146229,38.05870343306954
200 RIDGE MCINTIRE RD Charlottesville VA,200,RIDGE MCINTIRE RD,-78.48472850691697,38.03151773602383
900 EMMET ST N Charlottesville VA,900,EMMET ST N,-78.50278065291123,38.049036295956256
500 CAROLINE AVE Charlottesville VA,500,CAROLINE AVE,-78.46416365829876,38.0298876360369
100 LANKFORD ST Charlottesville VA,100,LANKFORD ST,-78.4870571,38.021285
100 HARMON ST Charlottesville VA,100,HARMON ST,-78.51201381840181,38.02677154128092
900 HENRY AVE Charlottesville VA,900,HENRY AVE,-78.486216237184,38.03924559469102
2200 NORTH BERSHIRE RD Charlottesville VA,2200,NORTH BERSHIRE RD,-78.4977444,38.0635005
400 GARRETT ST Charlottesville VA,400,GARRETT ST,-78.48049771104435,38.02747618337938
1200 CEDARS CT Charlottesville VA,1200,CEDARS CT,-78.50150533767138,38.05494265178741
100 W MARKET ST Charlottesville VA,100,W MARKET ST,-78.48161059313288,38.03192214040748
400 MOSELEY DR Charlottesville VA,400,MOSELEY DR,-78.50964633726745,38.01793978468553
100 4TH ST NE Charlottesville VA,100,4TH ST NE,-78.47876011211483,38.03037994511689
100 BIRDWOOD CT Charlottesville VA,100,BIRDWOOD CT,-78.47916026935886,38.04329441066399
